Pressure_MPa,Sinter_Temp_C,Sinter_Time_min,MA_Time_h,Layer_Count_from_code,Mxene_Rate_from_code,Is_FGM,Pressure_x_Temp,Temp_x_Time,Sinter_Energy,B4C_Outer_wt,B4C_Center_wt,B4C_Mean_wt,B4C_Gradient_wt,Sinter_Temp_C_sq,Pressure_MPa_sq,B4C_Mean_wt_sq,Green_Density_g_cm3_sq,Sinter_Time_Temp_Sq,Pressure_Temp_Ratio,Layer_Complexity,Green_Density_g_cm3,Green_Density_missing,Temp_dev,Temp_dev_sq,Time_dev,Time_dev_sq,Press_dev,Press_dev_sq,High_MXene_flag,High_MXene_flag_x_Pressure,High_MXene_flag_x_LayerComplexity,High_MXene_flag_x_Gradient,Density_hat_g_cm3,Max_Compressive_Strength_MPa,Hardness_HB,Sintered_Density_g_cm3,Toughness_MJ_m3,Sample_Code,Phase,sample_weight
400,570,180,1,5.0,0.0,0,228000,102600,102600,,0.0,,0.0,324900,160000,,,58482000,0.7017543847337643,0.0,,1,20.0,400.0,60.0,3600.0,0.0,0.0,0,0,0.0,0.0,2.5389951068392866,186.727517,93.66666667,2.5702,41.29441443,15b-3b,1,1.0
400,570,180,1,7.0,0.0,0,228000,102600,102600,,0.0,,0.0,324900,160000,,,58482000,0.7017543847337643,0.0,,1,20.0,400.0,60.0,3600.0,0.0,0.0,0,0,0.0,0.0,2.54147978577381,125.0398834,116.5,2.5129,13.20483102,17b-3b,1,1.0
400,590,60,2,3.0,0.0,0,236000,35400,35400,,0.0,,0.0,348100,160000,,,20886000,0.6779661005458202,0.0,,1,40.0,1600.0,-60.0,3600.0,0.0,0.0,0,0,0.0,0.0,2.54909059569643,230.7828318,138.6666667,2.5894,72.29277513,23b-1c,1,1.0
400,590,60,2,5.0,0.0,0,236000,35400,35400,,0.0,,0.0,348100,160000,,,20886000,0.6779661005458202,0.0,,1,40.0,1600.0,-60.0,3600.0,0.0,0.0,0,0,0.0,0.0,2.5539418497361104,197.4809508,106.3333333,2.5121,13.26696426,25b1c,1,1.0
400,590,60,2,7.0,0.0,0,236000,35400,35400,,0.0,,0.0,348100,160000,,,20886000,0.6779661005458202,0.0,,1,40.0,1600.0,-60.0,3600.0,0.0,0.0,0,0,0.0,0.0,2.5458373439742052,191.1983463,101.6666667,2.6235,7.779924976,27b-1c,1,1.0
500,550,180,2,3.0,0.0,0,275000,99000,99000,,0.0,,0.0,302500,250000,,,54450000,0.9090909074380166,0.0,,1,0.0,0.0,60.0,3600.0,100.0,10000.0,0,0,0.0,0.0,2.5790793008675594,339.1192179,113.5,2.6957,96.6693942,23c-3a,1,1.0
500,550,180,2,5.0,0.0,0,275000,99000,99000,,0.0,,0.0,302500,250000,,,54450000,0.9090909074380166,0.0,,1,0.0,0.0,60.0,3600.0,100.0,10000.0,0,0,0.0,0.0,2.592045319051587,336.3505909,141.5,2.6923,89.41167998,25c-3a,1,1.0
500,550,180,2,7.0,0.0,0,275000,99000,99000,,0.0,,0.0,302500,250000,,,54450000,0.9090909074380166,0.0,,1,0.0,0.0,60.0,3600.0,100.0,10000.0,0,0,0.0,0.0,2.584285410193451,287.6588134,133.0,2.5592,90.734911,27c-3a,1,1.0
500,570,60,3,3.0,0.0,0,285000,34200,34200,,0.0,,0.0,324900,250000,,,19494000,0.8771929809172053,0.0,,1,20.0,400.0,-60.0,3600.0,100.0,10000.0,0,0,0.0,0.0,2.5334604547455384,218.8623192,126.3333333,2.56204,66.85918849,33c-1b,1,1.0
500,570,60,3,5.0,0.0,0,285000,34200,34200,,0.0,,0.0,324900,250000,,,19494000,0.8771929809172053,0.0,,1,20.0,400.0,-60.0,3600.0,100.0,10000.0,0,0,0.0,0.0,2.5847276136527753,214.0181775,128.6666667,2.50794,73.19996582,35c-1b,1,1.0
500,570,60,3,7.0,0.0,0,285000,34200,34200,,0.0,,0.0,324900,250000,,,19494000,0.8771929809172053,0.0,,1,20.0,400.0,-60.0,3600.0,100.0,10000.0,0,0,0.0,0.0,2.5435170343482154,194.8645792,108.3333333,2.60204,28.66728046,37c-1b,1,1.0
500,590,120,1,3.0,0.0,0,295000,70800,70800,,0.0,,0.0,348100,250000,,,41772000,0.8474576256822752,0.0,,1,40.0,1600.0,0.0,0.0,100.0,10000.0,0,0,0.0,0.0,2.484512490979168,251.2003409,115.5,2.42888,74.20931436,13c-2c,1,1.0
500,590,120,1,5.0,0.0,0,295000,70800,70800,,0.0,,0.0,348100,250000,,,41772000,0.8474576256822752,0.0,,1,40.0,1600.0,0.0,0.0,100.0,10000.0,0,0,0.0,0.0,2.4658109257281713,239.54739,102.3333333,2.48576,72.33104787,15c-2c,1,1.0
500,590,120,1,7.0,0.0,0,295000,70800,70800,,0.0,,0.0,348100,250000,,,41772000,0.8474576256822752,0.0,,1,40.0,1600.0,0.0,0.0,100.0,10000.0,0,0,0.0,0.0,2.4997331026894853,191.4155809,127.6666667,2.40698,15.09549884,17c-2c,1,1.0
